"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - win","Group: 14_09_fixed_beta0.5against_0829_baseline - win__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - win__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win__MAX","Group: 10_09_continue0909 - win","Group: 10_09_continue0909 - win__MIN","Group: 10_09_continue0909 - win__MAX"
"0","1","1","1","0","0","0","0","0","0","0","0","0"
"1","1","1","1","0","0","0","0","0","0","0","0","0"
"2","1","1","1","1","1","1","0","0","0","1","1","1"
"3","1","1","1","1","1","1","0","0","0","1","1","1"
"4","1","1","1","2","2","2","0","0","0","2","2","2"
"5","1","1","1","2","2","2","2","2","2","2","2","2"
"6","1","1","1","2","2","2","3","3","3","2","2","2"
"7","2","2","2","2","2","2","3","3","3","2","2","2"
"8","2","2","2","2","2","2","3","3","3","2","2","2"
"9","2","2","2","2","2","2","4","4","4","2","2","2"
"10","2","2","2","2","2","2","4","4","4","2","2","2"
"11","2","2","2","2","2","2","4","4","4","2","2","2"
"12","2","2","2","2","2","2","4","4","4","2","2","2"
"13","3","3","3","3","3","3","5","5","5","2","2","2"
"14","3","3","3","3","3","3","5","5","5","2","2","2"
"15","3","3","3","3","3","3","5","5","5","3","3","3"
"16","4","4","4","3","3","3","5","5","5","4","4","4"
"17","4","4","4","3","3","3","5","5","5","5","5","5"
"18","4","4","4","3","3","3","5","5","5","5","5","5"
"19","4","4","4","3","3","3","6","6","6","5","5","5"
"20","6","6","6","4","4","4","6","6","6","7","7","7"
"21","6","6","6","4","4","4","6","6","6","9","9","9"
"22","8","8","8","4","4","4","7","7","7","10","10","10"
"23","8","8","8","4","4","4","8","8","8","11","11","11"
"24","9","9","9","4","4","4","9","9","9","11","11","11"
"25","9","9","9","4","4","4","9","9","9","11","11","11"
"26","9","9","9","4","4","4","9","9","9","11","11","11"
"27","9","9","9","4","4","4","9","9","9","11","11","11"
"28","9","9","9","5","5","5","10","10","10","13","13","13"
"29","10","10","10","5","5","5","11","11","11","13","13","13"
"30","11","11","11","5","5","5","11","11","11","15","15","15"
"31","11","11","11","5","5","5","12","12","12","15","15","15"
"32","12","12","12","5","5","5","12","12","12","15","15","15"
"33","14","14","14","5","5","5","13","13","13","15","15","15"
"34","16","16","16","5","5","5","13","13","13","15","15","15"
"35","17","17","17","5","5","5","14","14","14","15","15","15"
"36","17","17","17","6","6","6","14","14","14","15","15","15"
"37","17","17","17","6","6","6","14","14","14","15","15","15"
"38","17","17","17","6","6","6","15","15","15","16","16","16"
"39","19","19","19","6","6","6","16","16","16","16","16","16"
"40","20","20","20","6","6","6","18","18","18","18","18","18"
"41","20","20","20","6","6","6","18","18","18","19","19","19"
"42","22","22","22","6","6","6","18","18","18","20","20","20"
"43","26","26","26","6","6","6","19","19","19","21","21","21"
"44","26","26","26","6","6","6","21","21","21","21","21","21"
"45","28","28","28","6","6","6","23","23","23","22","22","22"
"46","29","29","29","6","6","6","24","24","24","23","23","23"
"47","31","31","31","6","6","6","24","24","24","24","24","24"
"48","32","32","32","6","6","6","24","24","24","26","26","26"
"49","34","34","34","6","6","6","25","25","25","26","26","26"
"50","35","35","35","6","6","6","27","27","27","27","27","27"
"51","38","38","38","6","6","6","28","28","28","28","28","28"
"52","39","39","39","6","6","6","28","28","28","29","29","29"
"53","39","39","39","6","6","6","29","29","29","29","29","29"
"54","41","41","41","6","6","6","30","30","30","31","31","31"
"55","42","42","42","6","6","6","31","31","31","31","31","31"
"56","45","45","45","7","7","7","31","31","31","32","32","32"
"57","46","46","46","7","7","7","31","31","31","33","33","33"
"58","48","48","48","7","7","7","31","31","31","34","34","34"
"59","48","48","48","7","7","7","31","31","31","35","35","35"
"60","48","48","48","7","7","7","31","31","31","37","37","37"
"61","50","50","50","7","7","7","34","34","34","37","37","37"
"62","53","53","53","7","7","7","35","35","35","39","39","39"
"63","53","53","53","7","7","7","36","36","36","39","39","39"
"64","55","55","55","8","8","8","36","36","36","39","39","39"
"65","55","55","55","8","8","8","37","37","37","41","41","41"
"66","57","57","57","8","8","8","37","37","37","42","42","42"
"67","58","58","58","8","8","8","40","40","40","42","42","42"
"68","59","59","59","9","9","9","41","41","41","44","44","44"
"69","61","61","61","9","9","9","42","42","42","45","45","45"
"70","61","61","61","9","9","9","43","43","43","47","47","47"
"71","61","61","61","10","10","10","43","43","43","48","48","48"
"72","61","61","61","11","11","11","46","46","46","50","50","50"
"73","63","63","63","13","13","13","47","47","47","51","51","51"
"74","66","66","66","13","13","13","48","48","48","51","51","51"
"75","68","68","68","13","13","13","48","48","48","52","52","52"
"76","68","68","68","13","13","13","51","51","51","52","52","52"
"77","71","71","71","13","13","13","52","52","52","53","53","53"
"78","75","75","75","13","13","13","54","54","54","54","54","54"
"79","77","77","77","13","13","13","57","57","57","55","55","55"
"80","78","78","78","13","13","13","59","59","59","58","58","58"
"81","82","82","82","13","13","13","60","60","60","60","60","60"
"82","84","84","84","13","13","13","63","63","63","61","61","61"
"83","86","86","86","14","14","14","65","65","65","61","61","61"
"84","87","87","87","14","14","14","68","68","68","63","63","63"
"85","88","88","88","14","14","14","69","69","69","64","64","64"
"86","90","90","90","14","14","14","75","75","75","65","65","65"
"87","93","93","93","14","14","14","77","77","77","67","67","67"
"88","98","98","98","14","14","14","79","79","79","68","68","68"
"89","98","98","98","14","14","14","83","83","83","70","70","70"
"90","98","98","98","14","14","14","83","83","83","75","75","75"
"91","99","99","99","15","15","15","84","84","84","76","76","76"
"92","102","102","102","15","15","15","84","84","84","77","77","77"
"93","105","105","105","15","15","15","85","85","85","79","79","79"
"94","108","108","108","15","15","15","85","85","85","81","81","81"
"95","108","108","108","15","15","15","87","87","87","82","82","82"
"96","110","110","110","17","17","17","89","89","89","86","86","86"
"97","112","112","112","18","18","18","93","93","93","86","86","86"
"98","114","114","114","19","19","19","95","95","95","86","86","86"
"99","117","117","117","19","19","19","96","96","96","87","87","87"
"100","120","120","120","19","19","19","98","98","98","88","88","88"
"101","","","","","","","","","","1","1","1"
"102","","","","","","","","","","5","5","5"
"103","","","","","","","","","","6","6","6"
"104","","","","","","","","","","7","7","7"
"105","","","","","","","","","","9","9","9"
"106","","","","","","","","","","11","11","11"
"107","","","","","","","","","","11","11","11"
"108","","","","","","","","","","13","13","13"
"109","","","","","","","","","","13","13","13"
"110","","","","","","","","","","15","15","15"
"111","","","","","","","","","","17","17","17"
"112","","","","","","","","","","19","19","19"
"113","","","","","","","","","","19","19","19"
"114","","","","","","","","","","21","21","21"
"115","","","","","","","","","","21","21","21"
"116","","","","","","","","","","21","21","21"
"117","","","","","","","","","","22","22","22"
"118","","","","","","","","","","24","24","24"
"119","","","","","","","","","","27","27","27"
"120","","","","","","","","","","28","28","28"
"121","","","","","","","","","","31","31","31"
"122","","","","","","","","","","31","31","31"
"123","","","","","","","","","","32","32","32"
"124","","","","","","","","","","36","36","36"
"125","","","","","","","","","","37","37","37"
"126","","","","","","","","","","40","40","40"
"127","","","","","","","","","","43","43","43"
"128","","","","","","","","","","46","46","46"
"129","","","","","","","","","","46","46","46"
"130","","","","","","","","","","47","47","47"
"131","","","","","","","","","","48","48","48"
"132","","","","","","","","","","48","48","48"
"133","","","","","","","","","","48","48","48"
"134","","","","","","","","","","49","49","49"
"135","","","","","","","","","","53","53","53"
"136","","","","","","","","","","55","55","55"
"137","","","","","","","","","","55","55","55"
"138","","","","","","","","","","58","58","58"
"139","","","","","","","","","","61","61","61"
"140","","","","","","","","","","63","63","63"
"141","","","","","","","","","","66","66","66"
"142","","","","","","","","","","68","68","68"
"143","","","","","","","","","","71","71","71"
"144","","","","","","","","","","72","72","72"
"145","","","","","","","","","","73","73","73"
"146","","","","","","","","","","74","74","74"
"147","","","","","","","","","","76","76","76"
"148","","","","","","","","","","78","78","78"
"149","","","","","","","","","","81","81","81"
"150","","","","","","","","","","82","82","82"
"151","","","","","","","","","","85","85","85"
"152","","","","","","","","","","85","85","85"
"153","","","","","","","","","","87","87","87"
"154","","","","","","","","","","88","88","88"
"155","","","","","","","","","","90","90","90"
"156","","","","","","","","","","90","90","90"
"157","","","","","","","","","","91","91","91"
"158","","","","","","","","","","95","95","95"
"159","","","","","","","","","","96","96","96"
"160","","","","","","","","","","98","98","98"
"161","","","","","","","","","","99","99","99"
"162","","","","","","","","","","100","100","100"
"163","","","","","","","","","","103","103","103"
"164","","","","","","","","","","105","105","105"
"165","","","","","","","","","","106","106","106"
"166","","","","","","","","","","107","107","107"
"167","","","","","","","","","","108","108","108"
"168","","","","","","","","","","112","112","112"
"169","","","","","","","","","","114","114","114"
"170","","","","","","","","","","115","115","115"
"171","","","","","","","","","","116","116","116"
"172","","","","","","","","","","117","117","117"
"173","","","","","","","","","","119","119","119"
"174","","","","","","","","","","122","122","122"
"175","","","","","","","","","","125","125","125"
"176","","","","","","","","","","128","128","128"
"177","","","","","","","","","","129","129","129"
"178","","","","","","","","","","135","135","135"
"179","","","","","","","","","","136","136","136"
"180","","","","","","","","","","138","138","138"
"181","","","","","","","","","","140","140","140"
"182","","","","","","","","","","140","140","140"
"183","","","","","","","","","","142","142","142"
"184","","","","","","","","","","144","144","144"
"185","","","","","","","","","","146","146","146"
"186","","","","","","","","","","147","147","147"
"187","","","","","","","","","","150","150","150"
"188","","","","","","","","","","152","152","152"
"189","","","","","","","","","","153","153","153"
"190","","","","","","","","","","156","156","156"
"191","","","","","","","","","","157","157","157"
"192","","","","","","","","","","159","159","159"
"193","","","","","","","","","","161","161","161"
"194","","","","","","","","","","162","162","162"
"195","","","","","","","","","","165","165","165"
"196","","","","","","","","","","168","168","168"
"197","","","","","","","","","","172","172","172"
"198","","","","","","","","","","173","173","173"
"199","","","","","","","","","","175","175","175"
"200","","","","","","","","","","176","176","176"